Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",42.230000,-115.570000,180.000000,top
"C2","4.7u","CP_EIA-3528-21_Kemet-B",44.182500,-122.150000,0.000000,top
"C3","47p","C_0805_2012Metric",42.353000,-107.950000,180.000000,top
"C4","47p","C_0805_2012Metric",42.353000,-104.140000,180.000000,top
"C5","100n","C_0805_2012Metric",42.353000,-111.760000,0.000000,top
"C6","100n","C_0805_2012Metric",116.840000,-73.980000,90.000000,top
"C7","10u","CP_EIA-3528-21_Kemet-B",110.555000,-73.845000,180.000000,top
"C8","1u","C_0805_2012Metric",116.713000,-32.893000,180.000000,top
"C9","100n","C_0805_2012Metric",106.680000,-57.204000,90.000000,top
"C10","10u","CP_EIA-3528-21_Kemet-B",114.032500,-57.150000,0.000000,top
"C11","1u","C_0805_2012Metric",99.060000,-96.393000,-90.000000,top
"C12","1u","C_0805_2012Metric",97.790000,-67.630000,-90.000000,top
"D1","LED","LED_0805_2012Metric",52.372000,-121.920000,180.000000,top
"D2","LED Blue","LED_0603_1608Metric",54.280000,-102.082500,90.000000,top
"D3","LED Red","LED_0603_1608Metric",50.216000,-102.082500,90.000000,top
"D5","SS54","D_SMA",104.140000,-64.770000,90.000000,top
"D6","SS54","D_SMA",31.344000,-64.146000,90.000000,top
"D7","SS54","D_SMA",79.248000,-33.274000,-90.000000,top
"D10","SS54","D_SMA",30.734000,-79.537500,90.000000,top
"D11","SS54","D_SMA",57.912000,-33.020000,-90.000000,top
"D14","SS54","D_SMA",31.750000,-95.347000,90.000000,top
"D15","SS54","D_SMA",31.750000,-49.627000,90.000000,top
"D18","SS54","D_SMA",81.534000,-93.250000,90.000000,top
"D19","SS54","D_SMA",81.026000,-65.310000,90.000000,top
"Q1","AO3400A","SOT-23-3-DS-inv",39.502500,-65.090000,180.000000,top
"Q2","AO3400A","SOT-23-3-DS-inv",71.252500,-33.020000,0.000000,top
"Q3","AO3400A","SOT-23-3-DS-inv",39.502500,-80.960000,180.000000,top
"Q4","AO3400A","SOT-23-3-DS-inv",49.662500,-32.760000,0.000000,top
"Q5","AO3400A","SOT-23-3-DS-inv",39.502500,-95.570000,180.000000,top
"Q6","AO3400A","SOT-23-3-DS-inv",39.502500,-49.850000,180.000000,top
"Q9","AO3400A","SOT-23-3-DS-inv",91.572500,-85.090000,0.000000,top
"Q10","AO3400A","SOT-23-3-DS-inv",90.302500,-56.839000,0.000000,top
"Q11","AO3401A","SOT-23-DS-inv",91.654000,-93.448000,0.000000,top
"Q12","AO3401A","SOT-23-DS-inv",90.502500,-65.741000,0.000000,top
"R1","1k","R_1206_3216Metric",59.497500,-121.920000,0.000000,top
"R2","1K","R_1206_3216Metric",136.702500,-33.240000,180.000000,top
"R3","1K","R_1206_3216Metric",46.990000,-64.297500,-90.000000,top
"R4","1K","R_1206_3216Metric",64.770000,-33.212500,90.000000,top
"R5","10K","R_1206_3216Metric",41.717500,-58.420000,0.000000,top
"R6","10K","R_1206_3216Metric",67.323600,-39.480000,180.000000,top
"R7","4.7K","R_1206_3216Metric",35.113500,-58.420000,0.000000,top
"R8","4.7K","R_1206_3216Metric",73.419600,-39.480000,180.000000,top
"R9","1K","R_1206_3216Metric",46.990000,-79.537500,-90.000000,top
"R10","300","R_1206_3216Metric",63.500000,-109.666500,-90.000000,top
"R11","1K","R_1206_3216Metric",43.180000,-32.958500,90.000000,top
"R12","300","R_1206_3216Metric",63.500000,-115.377500,-90.000000,top
"R13","10K","R_1206_3216Metric",41.717500,-73.660000,0.000000,top
"R14","10K","R_1206_3216Metric",45.987600,-39.226000,180.000000,top
"R15","4.7K","R_1206_3216Metric",35.560000,-73.660000,180.000000,top
"R16","4.7K","R_1206_3216Metric",52.083600,-39.226000,180.000000,top
"R17","1K","R_1206_3216Metric",46.990000,-94.777500,-90.000000,top
"R18","4.7k","R_1206_3216Metric",116.702500,-43.180000,180.000000,top
"R19","1K","R_1206_3216Metric",35.621500,-43.180000,0.000000,top
"R20","10K","R_1206_3216Metric",41.717500,-88.900000,0.000000,top
"R21","10K","R_1206_3216Metric",41.717500,-43.180000,0.000000,top
"R22","4.7K","R_1206_3216Metric",35.498500,-88.900000,0.000000,top
"R23","4.7K","R_1206_3216Metric",46.990000,-49.057500,-90.000000,top
"R24","750","R_1206_3216Metric",87.568500,-74.740000,0.000000,top
"R25","750","R_1206_3216Metric",86.548500,-45.403000,0.000000,top
"R26","1K","R_1206_3216Metric",99.081000,-89.827900,-90.000000,top
"R27","1K","R_1206_3216Metric",97.790000,-61.029000,-90.000000,top
"R28","4.7K","R_1206_3216Metric",87.568500,-78.550000,0.000000,top
"R29","4.7K","R_1206_3216Metric",86.487000,-49.467000,0.000000,top
"R30","1K","R_1206_3216Metric",82.042000,-79.504500,90.000000,top
"R31","1K","R_1206_3216Metric",80.899000,-52.199500,90.000000,top
"R32","1K","R_1206_3216Metric",99.081000,-83.285400,-90.000000,top
"R33","1K","R_1206_3216Metric",97.790000,-55.314000,-90.000000,top
"R34","4.7K","R_1206_3216Metric",82.042000,-85.600500,90.000000,top
"R35","4.7K","R_1206_3216Metric",80.899000,-57.910500,90.000000,top
"R36","3K","R_1206_3216Metric",113.790000,-50.800000,0.000000,top
"U1","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",52.190200,-112.364400,180.000000,top
"U3","AZ1117-5.0","SOT-223",114.300000,-65.283000,-90.000000,top
